# run: ./pt -T 11 1.5 1.6 1.7 1.8 1.9 2.0 2.1 2.2 2.3 2.4 2.5 40 1000 
# Info realisation 1000:numb. clusters=1, id_largest=0, size_largest = 1600
# time n x(energy mag mag2)
18 -1.942500 0.985000 0.985000  -1.917500 0.977500 0.977500  -1.805000 0.897500 0.897500  -1.800000 0.890000 0.890000  -1.712500 0.762500 0.762500  -1.680000 0.795000 0.795000  -1.480000 0.307500 0.307500  -1.465000 0.532500 0.532500  -1.322500 0.385000 0.385000  -1.130000 0.111250 0.111250  -1.157500 0.096250 0.096250  
19 -1.947500 0.985000 0.985000  -1.922500 0.975000 0.975000  -1.860000 0.923750 0.923750  -1.822500 0.906250 0.906250  -1.742500 0.787500 0.787500  -1.727500 0.815000 0.815000  -1.502500 0.278750 0.278750  -1.397500 0.570000 0.570000  -1.215000 0.265000 0.265000  -1.145000 0.128750 0.128750  -1.130000 0.088750 0.088750  
20 -1.970000 0.992500 0.992500  -1.912500 0.971250 0.971250  -1.797500 0.888750 0.888750  -1.812500 0.908750 0.908750  -1.755000 0.832500 0.832500  -1.725000 0.803750 0.803750  -1.462500 0.252500 0.252500  -1.417500 0.407500 0.407500  -1.485000 0.703750 0.703750  -1.192500 0.212500 0.212500  -1.137500 0.108750 0.108750  
21 -1.965000 0.986250 0.986250  -1.945000 0.981250 0.981250  -1.862500 0.940000 0.940000  -1.805000 0.897500 0.897500  -1.787500 0.866250 0.866250  -1.770000 0.873750 0.873750  -1.500000 0.277500 0.277500  -1.362500 0.723750 0.723750  -1.327500 0.427500 0.427500  -1.212500 0.328750 0.328750  -1.162500 0.160000 0.160000  
22 -1.965000 0.991250 0.991250  -1.930000 0.980000 0.980000  -1.890000 0.970000 0.970000  -1.797500 0.938750 0.938750  -1.755000 0.892500 0.892500  -1.705000 0.905000 0.905000  -1.567500 0.782500 0.782500  -1.500000 0.203750 0.203750  -1.192500 0.292500 0.292500  -1.172500 0.375000 0.375000  -1.125000 0.098750 0.098750  
23 -1.942500 0.983750 0.983750  -1.935000 0.978750 0.978750  -1.922500 0.980000 0.980000  -1.842500 0.953750 0.953750  -1.775000 0.917500 0.917500  -1.690000 0.882500 0.882500  -1.607500 0.805000 0.805000  -1.457500 0.168750 0.168750  -1.307500 0.372500 0.372500  -1.252500 0.366250 0.366250  -1.072500 0.015000 0.015000  
24 -1.955000 0.987500 0.987500  -1.932500 0.982500 0.982500  -1.910000 0.972500 0.972500  -1.837500 0.955000 0.955000  -1.820000 0.941250 0.941250  -1.717500 0.898750 0.898750  -1.622500 0.858750 0.858750  -1.335000 0.472500 0.472500  -1.337500 0.221250 0.221250  -1.230000 0.380000 0.380000  -1.107500 0.015000 0.015000  
25 -1.947500 0.986250 0.986250  -1.955000 0.987500 0.987500  -1.930000 0.981250 0.981250  -1.852500 0.953750 0.953750  -1.775000 0.936250 0.936250  -1.825000 0.940000 0.940000  -1.582500 0.817500 0.817500  -1.400000 0.472500 0.472500  -1.290000 0.203750 0.203750  -1.257500 0.406250 0.406250  -1.105000 0.175000 0.175000  
26 -1.945000 0.983750 0.983750  -1.937500 0.982500 0.982500  -1.877500 0.963750 0.963750  -1.822500 0.937500 0.937500  -1.790000 0.922500 0.922500  -1.750000 0.923750 0.923750  -1.657500 0.857500 0.857500  -1.415000 0.583750 0.583750  -1.162500 0.392500 0.392500  -1.217500 0.198750 0.198750  -1.065000 0.080000 0.080000  
27 -1.955000 0.987500 0.987500  -1.945000 0.986250 0.986250  -1.920000 0.977500 0.977500  -1.852500 0.957500 0.957500  -1.825000 0.935000 0.935000  -1.735000 0.902500 0.902500  -1.610000 0.852500 0.852500  -1.502500 0.582500 0.582500  -1.320000 0.161250 0.161250  -1.277500 0.465000 0.465000  -1.115000 0.157500 0.157500  
28 -1.965000 0.991250 0.991250  -1.945000 0.986250 0.986250  -1.892500 0.970000 0.970000  -1.850000 0.953750 0.953750  -1.807500 0.935000 0.935000  -1.777500 0.932500 0.932500  -1.670000 0.881250 0.881250  -1.520000 0.550000 0.550000  -1.297500 0.480000 0.480000  -1.297500 0.237500 0.237500  -1.090000 0.230000 0.230000  
